Name,Name of Module,Description of Module,Description of Type,Size,Activity dates,Duration
5254HOCA6Y/Tent/P5/01,5254HOCA6Y,Homogeneous Catalysis,Tentamen,50,26/05/16,12
"5264ECCS6Y/WC/P2/01,5264ECCS6Y,""Energy and Climate Change, Science, Policy and Economics"",Werkcollege,20,13/11/15,8"
"5264ECCS6Y/WC/P2/01,5264ECCS6Y,""Energy and Climate Change, Science, Policy and Economics"",Werkcollege,20,16/11/15,8"
"5264ECCS6Y/WC/P2/01,5264ECCS6Y,""Energy and Climate Change, Science, Policy and Economics"",Werkcollege,20,23/11/15,8"
"5264ECCS6Y/WC/P2/01,5264ECCS6Y,""Energy and Climate Change, Science, Policy and Economics"",Werkcollege,20,02/12/15,8"
"5264ECCS6Y/WC/P2/01,5264ECCS6Y,""Energy and Climate Change, Science, Policy and Economics"",Werkcollege,20,28/10/15,8"
"5264ECCS6Y/WC/P2/02,5264ECCS6Y,""Energy and Climate Change, Science, Policy and Economics"",Werkcollege,20,04/11/15,8"
"5264ECCS6Y/WC/P2/02,5264ECCS6Y,""Energy and Climate Change, Science, Policy and Economics"",Werkcollege,20,11/11/15,8"
"5264ECCS6Y/WC/P2/03,5264ECCS6Y,""Energy and Climate Change, Science, Policy and Economics"",Werkcollege,20,18/11/15,8"
"5264ECCS6Y/WC/P2/03,5264ECCS6Y,""Energy and Climate Change, Science, Policy and Economics"",Werkcollege,20,25/11/15,8"
5284STSI6Y/CP/P2/01,5284STSI6Y,Stochastic Simulation,Computer practicum,38,27/10/15,3/11/15,10/11/15,17/11/15,24/11/15,1/12/15,8/12/15,8
5284STSI6Y/CP/P2/02,5284STSI6Y,Stochastic Simulation,Computer practicum,36,04/11/15,8
5284STSI6Y/CP/P2/02,5284STSI6Y,Stochastic Simulation,Computer practicum,36,11/11/15,8
5284STSI6Y/CP/P2/02,5284STSI6Y,Stochastic Simulation,Computer practicum,36,18/11/15,8
5284STSI6Y/CP/P2/02,5284STSI6Y,Stochastic Simulation,Computer practicum,36,25/11/15,8
5284STSI6Y/CP/P2/02,5284STSI6Y,Stochastic Simulation,Computer practicum,36,02/12/15,8
5284STSI6Y/CP/P2/02,5284STSI6Y,Stochastic Simulation,Computer practicum,36,09/12/15,8
5284STSI6Y/CP/P2/02,5284STSI6Y,Stochastic Simulation,Computer practicum,36,28/10/15,8
5284STSI6Y/H/P2/01,5284STSI6Y,Stochastic Simulation,Hoorcollege,38,26/10/15,2/11/15,9/11/15,16/11/15,23/11/15,30/11/15,7/12/15,8
5284STSI6Y/H/P2/02,5284STSI6Y,Stochastic Simulation,Hoorcollege,30,06/11/15,8
5284STSI6Y/H/P2/02,5284STSI6Y,Stochastic Simulation,Hoorcollege,30,13/11/15,8
5284STSI6Y/H/P2/02,5284STSI6Y,Stochastic Simulation,Hoorcollege,30,19/11/15,8
5284STSI6Y/H/P2/02,5284STSI6Y,Stochastic Simulation,Hoorcollege,30,26/11/15,8
5284STSI6Y/H/P2/02,5284STSI6Y,Stochastic Simulation,Hoorcollege,30,03/12/15,8
5284STSI6Y/H/P2/02,5284STSI6Y,Stochastic Simulation,Hoorcollege,30,10/12/15,8
5284STSI6Y/H/P2/02,5284STSI6Y,Stochastic Simulation,Hoorcollege,30,29/10/15,8
